Attribute,Stage,Rulex,SHAP,LIME,Ablation ,Cum_Ablation,Curr_Pred,Org_Pred
Fatigue & generalized bone ache,0,0.0,0.0285276178,0.0085596005,0.0098399009,0.0095686991,0.4856505464,0.4855775948
Diarrhea,0,0.0,0.0569867102,0.0172310958,0.0119291113,0.0122728788,0.4861099167,0.4855775948
Jaundice,0,0.0,0.0421974031,0.0065350617,0.015600912,0.0166640544,0.4864200011,0.4855775948
Headache,0,0.0,0.0664300044,0.0116979316,0.0204006224,0.0204569773,0.4843448479,0.4855775948
Fever,0,0.0,0.1096324122,0.0324533633,0.0235815315,0.0244129664,0.4820767705,0.4855775948
HGB,0,0.0,0.1113862469,0.0164459538,0.0324987879,0.0334949448,0.4797152594,0.4855775948
Nausea/Vomting,0,0.0,0.1807123211,0.0644776569,0.0329601503,0.0352390991,0.476013614,0.4855775948
Epigastric pain,0,0.0,0.1682556097,0.057655584,0.0337422296,0.0393768315,0.4795376746,0.4855775948
ALT after 24 w,0,0.0000532354,0.1751539218,0.0285817147,0.0451225089,0.0454547242,0.4832504884,0.4855775948
WBC,0,0.000459735,0.1570828285,0.0219311238,0.0458168661,0.0447265275,0.4812097456,0.4855775948
Gender,0,0.0,0.2240820006,0.0654221987,0.0468638726,0.0503668923,0.4856113422,0.4855775948
RNA 12,0,0.0001648155,0.1762947272,0.025468634,0.0516141301,0.052811089,0.4854341301,0.4855775948
RNA EOT,0,0.0005749356,0.2139576297,0.0398204896,0.0541721157,0.0539068405,0.481298056,0.4855775948
ALT 1,0,0.0000191465,0.2129997811,0.0331800644,0.0554469388,0.0561607209,0.470596399,0.4855775948
AST 1,0,0.0004626079,0.2484999835,0.0313342661,0.059056793,0.0601464176,0.4699361858,0.4855775948
ALT 36,0,0.0000684438,0.2056009383,0.0243872081,0.0622330235,0.0596588855,0.4703869894,0.4855775948
ALT 24,0,0.0001011446,0.2299162148,0.0326312567,0.0635816883,0.0545588729,0.477764261,0.4855775948
BMI,0,0.0001980981,0.2656094272,0.0422288886,0.0636747938,0.0618034215,0.4780061354,0.4855775948
Plat,0,0.0002777994,0.2405199117,0.020709879,0.0659778102,0.0650033955,0.4796360937,0.4855775948
ALT4,0,0.0001964374,0.2703441806,0.0338964321,0.0696863993,0.0666038283,0.4804365527,0.4855775948
RNA 4,0,0.0005891551,0.2987894155,0.0473355774,0.0702795725,0.066314796,0.486476358,0.4855775948
ALT 12,0,0.0002446095,0.295359262,0.0326902262,0.0710572636,0.060164752,0.4888502784,0.4855775948
RNA Base,0,0.0003201699,0.3389627649,0.0600430282,0.0779947725,0.0740055738,0.4898342519,0.4855775948
Age,0,0.0002459649,0.3772752463,0.0624882705,0.0800228451,0.0664230562,0.4994168273,0.4855775948
RBC,0,0.0000689928,0.3225460077,0.0462807302,0.0809040803,0.0664287951,0.4936952206,0.4855775948
ALT 48,0,0.0000669531,0.3187926947,0.0429201689,0.0846342234,0.0599053843,0.4949091577,0.4855775948
RNA EF,0,0.0022210788,0.4646135976,0.105137861,0.1059172584,0.0906202797,0.5022933812,0.4855775948
