Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
acarbose,0.0,0.0,0.006297268,1,1,6
acetohexamide,0.0,0.0,0.0,1,1,1
admission_source_id,0.0000180287,0.1905812783,0.0034637821,1,40,4
admission_type_id,0.0000625449,0.2973270967,0.0037118154,1,45,5
age,0.0004548531,0.6065588805,0.0209789865,1,48,16
change,0.0,0.08487086,0.0031807838,1,30,4
chlorpropamide,0.0,0.0,0.008342404,1,1,8
citoglipton,0.0,0.0,0.0,1,1,1
diabetesMed,0.0002260376,0.1083769082,0.0,1,32,1
diag_1_Circulatory,0.0004282907,0.0860619075,0.0029886674,1,31,4
diag_1_Diabetes,0.0,0.0842053519,0.0012910419,1,29,2
diag_1_Digestive,0.0,0.0337284742,0.0043272615,1,17,5
diag_1_Genitourinary,0.0,0.076581175,0.0065934857,1,27,7
diag_1_Injury,0.0,0.0311711179,0.0023145494,1,15,3
diag_1_Musculoskeletal,0.0,0.0105021588,0.0034106634,1,8,4
diag_1_Neoplasms,0.0,0.0130296638,0.0056639461,1,9,6
diag_1_Other,0.0004650788,0.1549884827,0.0037540262,1,36,5
diag_1_Respiratory,0.0,0.0709730792,0.0031344172,1,26,4
diag_2_Circulatory,0.0,0.0433756397,0.003224367,1,19,4
diag_2_Diabetes,0.0006961977,0.0852183213,0.0042984409,2,30,5
diag_2_Digestive,0.0,0.0416696738,0.0057204077,1,18,6
diag_2_Genitourinary,0.0,0.1847679893,0.0028373776,1,39,4
diag_2_Injury,0.0,0.0018980571,0.0079293407,1,3,8
diag_2_Musculoskeletal,0.0,0.0008802472,0.0086428213,1,2,9
diag_2_Neoplasms,0.0,0.0173474549,0.0060402442,1,10,6
diag_2_Other,0.0,0.1294712683,0.0037756055,1,35,5
diag_2_Respiratory,0.0,0.0704444243,0.0021675004,1,25,3
diag_3_Circulatory,0.0,0.231066698,0.0039978214,1,42,5
diag_3_Diabetes,0.0,0.0604719296,0.0029242645,1,24,4
diag_3_Digestive,0.0,0.0197596891,0.0043462118,1,11,5
diag_3_Genitourinary,0.0,0.0502514697,0.003604527,1,22,5
diag_3_Injury,0.0000112746,0.0099978092,0.0078388701,1,7,8
diag_3_Musculoskeletal,0.0,0.0198198438,0.0076679137,1,11,8
diag_3_Neoplasms,0.0,0.0291005956,0.007354745,1,14,7
diag_3_Other,0.0,0.1592339493,0.0028720023,1,37,4
diag_3_Respiratory,0.0,0.0233259678,0.0026390256,1,13,4
discharge_disposition_id,0.0000129616,0.44012019,0.0418835161,1,46,19
examide,0.0,0.0,0.0,1,1,1
gender_Female,0.0,0.1655357217,0.0029420126,1,38,4
gender_Male,0.0,0.0,0.0025312594,1,1,4
glimepiride,0.0,0.0331478865,0.0058241428,1,16,6
glimepiride-pioglitazone,0.0,0.0,0.0,1,1,1
glipizide,0.0000180974,0.0217340538,0.0067640963,1,12,7
glipizide-metformin,0.0,0.0,0.0,1,1,1
glyburide,0.0000145152,0.0600071376,0.0033338276,1,24,4
glyburide-metformin,0.0,0.0015559838,0.0092983952,1,3,9
insulin,0.0006267467,0.1181787872,0.003659242,2,34,5
metformin,0.0,0.0452284842,0.0090941768,1,20,9
metformin-pioglitazone,0.0,0.0,0.0,1,1,1
metformin-rosiglitazone,0.0,0.0,0.0,1,1,1
miglitol,0.0,0.0,0.0,1,1,1
nateglinide,0.0,0.0067827311,0.0153495242,1,6,13
num_lab_procedures,0.0000359641,0.6682746651,0.0044480217,1,49,5
num_medications,0.0001487007,0.4768698255,0.0156584697,1,47,14
num_procedures,0.0,0.2187980917,0.003655217,1,41,5
number_diagnoses,0.0003093425,0.2850976433,0.0269634121,1,44,18
number_emergency,0.0,0.0832064807,0.0058196754,1,28,6
number_inpatient,0.0001426588,0.2764963333,0.0179696257,1,43,15
number_outpatient,0.0000001617,0.0447347699,0.014187725,1,20,12
pioglitazone,0.0,0.019718322,0.0030725925,1,11,4
race_AfricanAmerican,0.0,0.0493925093,0.0014771734,1,21,2
race_Asian,0.0,0.0037359854,0.0177560182,1,4,15
race_Caucasian,0.0000194612,0.1126425183,0.0,1,33,1
race_Hispanic,0.0,0.0098050743,0.0107387196,1,7,11
race_Other,0.0,0.0519117427,0.0057150059,1,23,6
repaglinide,0.0,0.0053812845,0.0100983671,1,5,10
rosiglitazone,0.0,0.0168871993,0.0040211038,1,10,5
time_in_hospital,0.0000469306,0.7699485733,0.023374314,1,50,17
tolazamide,0.0,0.0,0.0138877537,1,1,12
tolbutamide,0.0,0.0,0.0,1,1,1
troglitazone,0.0,0.0,0.0,1,1,1
